label,text
business,"Stocks rise as markets react to earnings"
sports,"Local team wins championship after overtime"
politics,"New policy proposal sparks debate in senate"
science,"Breakthrough in cancer research shows promise"
tech,"Tech company launches new smartphone model"
business,"Quarterly profits exceed analyst expectations"
sports,"Tennis star advances to semifinals after tough match"
politics,"Diplomatic talks resume in attempt to avoid conflict"
science,"New telescope captures high-resolution image of distant galaxy"
tech,"Software update fixes critical security vulnerability"
